,domestic_violence_related_assault.count
Albury,34.0
Armidale Regional,27.0
Ballina,19.0
Balranald,0.0
Bathurst Regional,69.0
Bayside,43.0
Bega Valley,23.0
Bellingen,2.0
Berrigan,2.0
Blacktown,341.0
Bland,6.0
Blayney,1.0
Blue Mountains,39.0
Bogan,1.0
Bourke,17.0
Brewarrina,8.0
Broken Hill,34.0
Burwood,2.0
Byron,5.0
Cabonne,1.0
Camden,35.0
Campbelltown,121.0
Canada Bay,12.0
Canterbury-Bankstown,179.0
Carrathool,0.0
Central Coast,197.0
Central Darling,19.0
Cessnock,33.0
Clarence Valley,29.0
Cobar,1.0
Coffs Harbour,78.0
Coolamon,1.0
Coonamble,18.0
Cootamundra-Gundagai Regional,11.0
Cowra,14.0
Cumberland,110.0
Dubbo Regional,73.0
Dungog,2.0
Edward River,10.0
Eurobodalla,24.0
Fairfield,84.0
Federation,2.0
Forbes,14.0
Georges River,48.0
Gilgandra,11.0
Glen Innes Severn,12.0
Goulburn Mulwaree,17.0
Greater Hume Shire,2.0
Griffith,23.0
Gunnedah,2.0
Gwydir,1.0
Hawkesbury,38.0
Hay,2.0
Hilltops,9.0
Hornsby,32.0
Hunters Hill,1.0
Inner West,38.0
Inverell,33.0
Junee,2.0
Kempsey,23.0
Kiama,2.0
Ku-ring-gai,28.0
Kyogle,2.0
Lachlan,1.0
Lake Macquarie,115.0
Lane Cove,2.0
Leeton,11.0
Lismore,37.0
Lithgow,24.0
Liverpool,161.0
Liverpool Plains,2.0
Lockhart,2.0
Maitland,74.0
Mid-Coast,88.0
Mid-Western Regional,16.0
Moree Plains,33.0
Mosman,1.0
Murray River,2.0
Murrumbidgee,1.0
Muswellbrook,24.0
Nambucca Valley,22.0
Narrabri,15.0
Narrandera,18.0
Narromine,18.0
Newcastle,99.0
North Sydney,2.0
Northern Beaches,41.0
Oberon,1.0
Orange,49.0
Parkes,16.0
Parramatta,94.0
Penrith,156.0
Port Macquarie-Hastings,52.0
Port Stephens,47.0
Queanbeyan-Palerang Regional,22.0
Randwick,34.0
Richmond Valley,22.0
Ryde,26.0
Shellharbour,32.0
Shoalhaven,84.0
Singleton,12.0
Snowy Monaro Regional,2.0
Snowy Valleys,2.0
Strathfield,12.0
Sutherland Shire,105.0
Sydney,52.0
Tamworth Regional,60.0
Temora,1.0
Tenterfield,8.0
The Hills Shire,39.0
Tweed,28.0
Upper Hunter Shire,6.0
Upper Lachlan Shire,2.0
Uralla,1.0
Wagga Wagga,37.0
Walcha,2.0
Walgett,10.0
Warren,2.0
Warrumbungle Shire,6.0
Waverley,23.0
Weddin,1.0
Wentworth,17.0
Willoughby,15.0
Wingecarribee,14.0
Wollondilly,21.0
Wollongong,87.0
Woollahra,16.0
Yass Valley,2.0
